Code,ID,Mode,Level,Nationality,L1,Concordance Line,Verb,BCC_COLL,Functions,BCC_Frequency,CSL_Score,CSL_COLL,Reliability,Accessibility,Semantics,Error,Error-Type,Details
S_B_F_AF_TG,AF_TG,S,L1,TG,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_F_LX_RU,LX_RU,W,L1,RU,RU,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_JAN_RU,JAN_RU,S,L1,RU,RU,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
S_B_M_AILAN_PK,AILAN_PK,S,L1,PK,Other,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
S_B_M_AXH_UZ,AXH_UZ,S,L1,UZ,TK,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
S_B_M_LMN_TH_1,LMN_TH,S,L1,TH,TH,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
W_B_F_AIML_KZ_2,AIML_KZ,W,L1,KZ,TK,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
W_B_F_XY_UZ,XY_UZ,W,L1,UZ,TK,[GLCLC text removed],影响,Attracted,EVAL,733.0,11.12,Attracted,Yes,2.0,Functional,,,
W_B_M_MWH_VE_3,MWH_VE,W,L1,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_B_F_DAN_PE,DAN_PE,W,L1,PE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_B_M_LBI_TG_2,LBI_TG,W,L1,TG,EN,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_B_M_JMJ_KR,JMJ_KR,S,L1,KR,KR,[GLCLC text removed],起,Attracted,EVAL,2379.0,3.71,Attracted,Yes,6.0,Functional,,,
S_B_F_YUL_US+B_F_XPP_TH,XPP_TH,S,L1,TH,TH,[GLCLC text removed],一样,Repelled,DISP,91.0,0.0,Repelled,Yes,2.0,Manner,,,
W_B_M_RYS_VN,RYS_VN,W,L1,VN,VN,[GLCLC text removed],一样,Repelled,DISP,91.0,0.0,Repelled,Yes,2.0,Manner,,,
S_B_M_JMJ_KR,JMJ_KR,S,L1,KR,KR,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_B_F_ZZX_KR_1,ZZX_KR,W,L1,KR,KR,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_B_F_OLY_RU_4,OLY_RU,W,L1,RU,RU,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_B_F_OMLI_TH_4,OMLI_TH,W,L1,TH,TH,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
S_B_F_JAN_RU,JAN_RU,S,L1,RU,RU,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_JXJ_KR,JXJ_KR,S,L1,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_LT_ES_2,LT_ES,S,L1,ES,ES,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_LX_RU,LX_RU,S,L1,RU,RU,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_M_HA_ES,HA_ES,S,L1,ES,ES,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_M_LZJ_KR,LZJ_KR,S,L1,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_M_PSB_KR_2,PSB_KR,S,L1,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_RFM_VN_3,RFM_VN,S,L1,VN,VN,[GLCLC text removed],亲切,Attracted,DISP,42.0,1.85,Attracted,Yes,4.0,Manner,,,
S_B_M_YJG_RU_2,YJG_RU,S,L1,RU,RU,[GLCLC text removed],爱,Repelled,MS,209.0,0.0,Repelled,Yes,2.0,Psych,,,
W_B_F_JDX_KR,JDX_KR,W,L1,KR,KR,[GLCLC text removed],关照,Attracted,SI,82.0,0.0,Repelled,No,5.0,Social,,,
S_B_F_XSL_CM_2,XSL_CM,S,L1,CM,EN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_EMILIO_MX,EMILIO_MX,S,L1,MX,ES,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_HSYI_BI,HSYI_BI,S,L1,BI,Other,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_KK_TR,KK_TR,S,L1,TR,TK,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_KK_TR,KK_TR,S,L1,TR,TK,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_PSB_KR_2,PSB_KR,S,L1,KR,KR,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_DBY_VN,DBY_VN,W,L1,VN,VN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_LZLA_CD,LZLA_CD,W,L1,CD,FR,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_KLL_CM,KLL_CM,W,L1,CM,EN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_RSHF_VN,RSHF_VN,W,L1,VN,VN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_F_DSQC_VN,DSQC_VN,S,L1,VN,VN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_JCXU_KR,JCXU_KR,S,L1,KR,KR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_KLL_CM_4,KLL_CM,S,L1,CM,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_LINA_CO_1,LINA_CO,S,L1,CO,ES,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_PSX_KR,PSX_KR,S,L1,KR,KR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_ABU_KG,ABU_KG,S,L1,KG,TK,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_ALM_TG,ALM_TG,S,L1,TG,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_FLS_SY,FLS_SY,S,L1,SY,AR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_WS_CM,WS_CM,S,L1,CM,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_XSE_ES,XSE_ES,S,L1,ES,ES,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_ZSZ_KR,ZSZ_KR,S,L1,KR,KR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_F_ST_MG,ST_MG,W,L1,MG,Other,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_F_DSQC_VN_3,DSQC_VN,W,L1,VN,VN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_M_AHA_YE_2,AHA_YE,W,L1,YE,AR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_M_MWH_VE_3,MWH_VE,W,L1,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,61.17,Attracted,Yes,1.0,Functional,,,
S_B_M_ST_BE,ST_BE,S,L1,BE,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_B_M_JWQ_KR,JWQ_KR,S,L1,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_B_F_GH_VN,GH_VN,W,L1,VN,VN,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_B_M_LMN_TH_2,LMN_TH,W,L1,TH,TH,[GLCLC text removed],热情,Attracted,DISP,75.0,5.56,Attracted,Yes,2.0,Manner,,,
W_B_F_ND_TG_1,ND_TG,W,L1,TG,EN,[GLCLC text removed],熟悉,Attracted,MS,1180.0,5.56,Attracted,Yes,3.0,Psych,,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],爱,Repelled,MS,209.0,0.0,Repelled,Yes,2.0,Psych,,,
